feature,day,wide_loss_n,tight_n,wide_win_n,wide_loss_median,tight_median,wide_win_median,wide_loss_mean,tight_mean,cliffs_delta,overlap,permutation_p,losses_outside_envelope,losses_outside_fraction
cash,10,23,40,4,2162.0,2396.0,2093.0,2157.1304347826085,2329.75,-0.1956521739130435,0.2351641414141414,0.11744127936031984,2,0.08695652173913043
opponent_cash,20,23,40,4,47265.0,49874.0,49410.5,47767.69565217391,51047.3,-0.19130434782608696,0.6158100505387623,0.19740129935032483,4,0.17391304347826086
delta_cash,10,23,40,4,739.0,752.0,1141.5,751.8260869565217,908.2,-0.19021739130434784,0.1797274275979557,0.047976011994003,2,0.08695652173913043
price_WHEAT,5,23,40,4,31.0,31.0,31.0,30.869565217391305,30.65,0.1891304347826087,0.5,0.13143428285857073,2,0.08695652173913043
coop,15,23,40,4,4.0,4.0,0.0,3.869565217391304,3.25,0.18478260869565216,0.75,0.05997001499250375,0,0.0
passes,15,23,40,4,1.0,1.0,0.0,0.9565217391304348,0.775,0.1815217391304348,1.0,0.07646176911544228,0,0.0
coop,20,23,40,4,3.0,3.0,0.0,2.869565217391304,2.325,0.1815217391304348,1.0,0.07646176911544228,0,0.0
passes,20,23,40,4,0.0,0.0,1.0,0.043478260869565216,0.225,-0.1815217391304348,1.0,0.07646176911544228,0,0.0
cash,5,23,40,4,686.0,686.0,686.0,665.5652173913044,686.85,-0.17717391304347826,0.01107011070110701,0.24287856071964017,6,0.2608695652173913
price_WOOL,10,23,40,4,148.0,148.0,229.0,156.65217391304347,171.575,-0.17065217391304346,0.8804347826086957,0.05997001499250375,0,0.0
price_STRAWBERRY,5,23,40,4,139.0,155.0,147.0,145.95652173913044,148.6,-0.16521739130434782,1.0,0.3008495752123938,0,0.0
cash_lead,5,23,40,4,0.0,0.0,0.0,52.78260869565217,15.75,0.16304347826086957,0.48894557823129253,0.39730134932533734,6,0.2608695652173913
price_WHEAT,15,23,40,4,41.0,41.0,40.0,41.391304347826086,40.7,0.15108695652173912,0.5714285714285714,0.1729135432283858,0,0.0
delta_cash,15,23,40,4,3621.0,3707.5,2998.0,3355.304347826087,3741.6,-0.14891304347826087,0.9313590449954087,0.20589705147426288,3,0.13043478260869565
herd_GOOSE,15,23,40,4,3.0,3.0,0.0,2.782608695652174,2.325,0.14782608695652175,1.0,0.09945027486256872,0,0.0
herd_GOOSE,20,23,40,4,3.0,3.0,0.0,2.782608695652174,2.325,0.14782608695652175,1.0,0.09945027486256872,0,0.0
price_WOOL,20,23,40,4,61.0,87.5,240.5,73.95652173913044,102.575,-0.14782608695652175,0.9715447154471545,0.2413793103448276,2,0.08695652173913043
opponent_cash,5,23,40,4,686.0,686.0,686.0,612.7826086956521,671.1,-0.14673913043478262,0.8550295857988166,0.13193403298350825,6,0.2608695652173913
opponent_cash,15,23,40,4,22125.0,23455.0,20353.0,22520.08695652174,23309.75,-0.14565217391304347,0.737125468164794,0.3073463268365817,6,0.2608695652173913
price_EGG,20,23,40,4,55.0,52.0,57.5,53.391304347826086,52.325,0.14130434782608695,0.8260869565217391,0.456271864067966,3,0.13043478260869565
units_out,20,23,40,4,3.0,3.0,6.0,3.260869565217391,3.825,-0.14021739130434782,0.3333333333333333,0.21489255372313842,0,0.0
price_STRAWBERRY,15,23,40,4,213.0,206.0,194.0,201.69565217391303,205.5,-0.13804347826086957,0.9404761904761905,0.5442278860569715,2,0.08695652173913043
price_CARROT,5,23,40,4,35.0,35.0,35.0,35.130434782608695,35.3,-0.13478260869565217,1.0,0.3633183408295852,1,0.043478260869565216
herd_COW,10,23,40,4,8.0,8.0,6.0,7.6521739130434785,7.5,0.12934782608695652,0.6666666666666666,0.6571714142928535,1,0.043478260869565216
herd_COW,15,23,40,4,8.0,8.0,6.0,7.6521739130434785,7.5,0.12934782608695652,0.6666666666666666,0.6571714142928535,1,0.043478260869565216
herd_COW,20,23,40,4,8.0,8.0,6.0,7.6521739130434785,7.5,0.12934782608695652,0.6666666666666666,0.6571714142928535,1,0.043478260869565216
stock_units,15,23,40,4,64.0,64.0,80.0,64.78260869565217,63.6,0.125,0.5609756097560976,0.47726136931534235,1,0.043478260869565216
price_WHEAT,10,23,40,4,37.0,37.0,37.0,37.17391304347826,36.7,0.12282608695652174,0.2857142857142857,0.20689655172413793,0,0.0
cash,15,23,40,4,22009.0,23429.5,19316.5,22448.304347826088,23269.175,-0.12173913043478261,0.5753625966391924,0.3288355822088955,2,0.08695652173913043
units_in,20,23,40,4,10.0,10.0,12.0,9.956521739130435,10.1,-0.11956521739130435,0.5,0.7371314342828585,1,0.043478260869565216
opponent_land_used,1,23,40,4,23.0,23.0,23.0,22.26086956521739,23.025,-0.10978260869565218,0.0,0.08895552223888056,2,0.08695652173913043
cash,1,23,40,4,26.0,26.0,26.0,26.304347826086957,25.8,-0.10543478260869565,0.04285714285714286,0.7596201899050474,6,0.2608695652173913
price_WOOL,5,23,40,4,215.0,215.0,215.0,215.0,216.4,-0.1,0.0,0.2773613193403298,0,0.0
price_STRAWBERRY,20,23,40,4,179.0,183.0,125.0,148.0,156.275,-0.09347826086956522,0.897119341563786,0.6686656671664168,5,0.21739130434782608
cash_lead,15,23,40,4,0.0,0.0,-1036.5,-71.78260869565217,-40.575,0.09239130434782608,0.09964752228903172,0.967016491754123,11,0.4782608695652174
cash_lead,1,23,40,4,0.0,0.0,0.0,-3.217391304347826,0.0,-0.08695652173913043,0.013888888888888888,0.37681159420289856,4,0.17391304347826086
opponent_land_used,3,23,40,4,25.0,25.0,25.0,24.608695652173914,25.0,-0.08695652173913043,0.0,0.127936031984008,2,0.08695652173913043
land_lead,10,23,40,4,0.0,0.0,0.0,-1.3043478260869565,0.0,-0.08695652173913043,0.0,0.13093453273363317,2,0.08695652173913043
price_MELON,15,23,40,4,84.0,84.0,84.0,89.65217391304348,84.0,0.08695652173913043,0.0,0.13093453273363317,2,0.08695652173913043
price_MELON,20,23,40,4,96.0,96.0,96.0,98.08695652173913,96.0,0.08695652173913043,0.0,0.13093453273363317,2,0.08695652173913043
land_lead,1,23,40,4,0.0,0.0,0.0,0.782608695652174,0.05,0.08478260869565217,0.07142857142857142,0.09095452273863068,3,0.13043478260869565
price_FERTILIZER,20,23,40,4,30.0,30.0,31.0,30.565217391304348,30.125,-0.08152173913043478,0.19230769230769232,0.7886056971514243,3,0.13043478260869565
price_FERTILIZER,15,23,40,4,52.0,52.0,54.5,52.78260869565217,52.625,-0.07934782608695652,0.15,0.8845577211394303,2,0.08695652173913043
price_CARROT,15,23,40,4,39.0,40.0,37.5,40.56521739130435,41.575,-0.07717391304347826,1.0,0.4607696151924038,1,0.043478260869565216
opponent_land_used,10,23,40,4,50.0,50.0,50.0,50.73913043478261,49.975,0.06739130434782609,0.0,0.2318840579710145,1,0.043478260869565216
units_out,15,23,40,4,5.0,5.0,5.0,4.782608695652174,4.65,0.06304347826086956,0.8,0.6446776611694153,1,0.043478260869565216
price_TOMATO,5,23,40,4,61.0,61.0,61.0,61.30434782608695,61.25,0.05434782608695652,1.0,0.7466266866566716,0,0.0
price_WHEAT,20,23,40,4,42.0,41.5,39.5,41.91304347826087,41.425,0.04891304347826087,0.5454545454545454,0.49525237381309345,0,0.0
stock_units,10,23,40,4,39.0,39.0,39.0,38.869565217391305,38.15,0.04565217391304348,0.16129032258064516,0.7716141929035483,2,0.08695652173913043
herd,3,23,40,4,5.0,5.0,5.0,4.869565217391305,5.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
herd_COW,3,23,40,4,3.0,3.0,3.0,2.869565217391304,3.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
land_idle,3,23,40,4,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
land_lead,3,23,40,4,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.0,0.42978510744627685,3,0.13043478260869565
land_used,3,23,40,4,25.0,25.0,25.0,24.91304347826087,25.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
pasture,3,23,40,4,6.0,6.0,6.0,5.913043478260869,6.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
stock_units,3,23,40,4,7.0,7.0,7.0,7.043478260869565,7.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
units_in,3,23,40,4,0.0,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
units_out,3,23,40,4,1.0,1.0,1.0,0.9565217391304348,1.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
herd,5,23,40,4,6.0,6.0,6.0,5.826086956521739,6.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
herd_COW,5,23,40,4,4.0,4.0,4.0,3.8260869565217392,4.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
land_idle,5,23,40,4,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
land_used,5,23,40,4,25.0,25.0,25.0,24.91304347826087,25.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
opponent_land_used,5,23,40,4,25.0,25.0,25.0,24.91304347826087,25.0,-0.043478260869565216,0.0,0.36081959020489757,1,0.043478260869565216
pasture,5,23,40,4,6.0,6.0,6.0,5.913043478260869,6.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
stock_units,5,23,40,4,17.0,17.0,17.0,17.130434782608695,17.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
units_in,5,23,40,4,5.0,5.0,5.0,5.043478260869565,5.0,0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
herd,10,23,40,4,13.0,13.0,13.0,12.608695652173912,13.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
pasture,10,23,40,4,13.0,13.0,13.0,12.91304347826087,13.0,-0.043478260869565216,0.0,0.3758120939530235,1,0.043478260869565216
land_lead,20,23,40,4,0.0,0.0,0.0,-0.8260869565217391,0.0,-0.043478260869565216,0.0,0.13893053473263367,3,0.13043478260869565
price_MILK,10,23,40,4,187.0,195.0,131.0,184.2608695652174,182.425,0.03260869565217391,1.0,0.8415792103948025,3,0.13043478260869565
land_idle,1,23,40,4,2.0,2.0,2.0,1.9565217391304348,1.925,0.03152173913043478,1.0,1.0,1,0.043478260869565216
land_used,1,23,40,4,23.0,23.0,23.0,23.043478260869566,23.075,-0.03152173913043478,1.0,1.0,1,0.043478260869565216
price_MILK,5,23,40,4,179.0,179.0,179.0,187.1304347826087,186.65,0.02826086956521739,1.0,1.0,0,0.0
crops,10,23,40,4,37.0,37.0,37.0,36.391304347826086,36.925,0.02826086956521739,0.07142857142857142,0.3758120939530235,1,0.043478260869565216
price_MILK,15,23,40,4,116.0,116.0,5.0,122.30434782608695,116.225,0.02608695652173913,1.0,0.7756121939030485,4,0.17391304347826086
cash,3,23,40,4,198.0,198.0,198.0,199.43478260869566,197.775,-0.025,0.057692307692307696,0.3458270864567716,6,0.2608695652173913
passes,10,23,40,4,0.0,0.0,0.0,0.0,0.075,-0.025,0.0,1.0,0,0.0
units_out,10,23,40,4,1.0,1.0,1.0,1.0,1.4,0.025,0.0,1.0,0,0.0
opponent_cash,1,23,40,4,26.0,26.0,26.0,29.52173913043478,25.8,0.02391304347826087,0.041237113402061855,0.12143928035982009,5,0.21739130434782608
opponent_land_used,20,23,40,4,75.0,75.0,75.0,75.34782608695652,74.975,0.02282608695652174,0.08333333333333333,0.4112943528235882,2,0.08695652173913043
price_MILK,20,23,40,4,15.0,26.0,11.0,65.95652173913044,69.025,-0.02282608695652174,0.9793388429752066,0.8895552223888056,4,0.17391304347826086
land_idle,10,23,40,4,0.0,0.0,0.0,0.5652173913043478,0.025,0.01956521739130435,0.07692307692307693,0.3758120939530235,1,0.043478260869565216
land_used,10,23,40,4,50.0,50.0,50.0,49.43478260869565,49.975,-0.01956521739130435,0.07692307692307693,0.3758120939530235,1,0.043478260869565216
crops,15,23,40,4,57.0,57.0,57.0,56.34782608695652,56.975,-0.01956521739130435,0.06666666666666667,0.3758120939530235,1,0.043478260869565216
land_idle,15,23,40,4,0.0,0.0,0.0,0.5217391304347826,0.025,0.01956521739130435,0.08333333333333333,0.3758120939530235,1,0.043478260869565216
land_used,15,23,40,4,75.0,75.0,75.0,74.47826086956522,74.975,-0.01956521739130435,0.08333333333333333,0.3758120939530235,1,0.043478260869565216
opponent_land_used,15,23,40,4,75.0,75.0,75.0,74.82608695652173,74.975,-0.01956521739130435,0.25,0.36081959020489757,1,0.043478260869565216
crops,20,23,40,4,58.0,58.0,58.0,57.34782608695652,57.975,-0.01956521739130435,0.06666666666666667,0.3758120939530235,1,0.043478260869565216
land_idle,20,23,40,4,0.0,0.0,0.0,0.4782608695652174,0.025,0.01956521739130435,0.09090909090909091,0.3758120939530235,1,0.043478260869565216
land_used,20,23,40,4,75.0,75.0,75.0,74.52173913043478,74.975,-0.01956521739130435,0.09090909090909091,0.3758120939530235,1,0.043478260869565216
cash_lead,10,23,40,4,0.0,0.0,2.0,11.217391304347826,-14.975,0.013043478260869565,0.7963414634146342,0.84007996001999,10,0.43478260869565216
units_in,10,23,40,4,12.0,12.0,12.0,11.956521739130435,11.65,0.010869565217391304,0.07142857142857142,0.7146426786606697,1,0.043478260869565216
price_CARROT,20,23,40,4,45.0,45.0,45.5,46.43478260869565,47.35,-0.007608695652173913,0.8095238095238095,0.7016491754122939,1,0.043478260869565216
price_FERTILIZER,10,23,40,4,76.0,76.0,76.5,76.34782608695652,76.05,-0.004347826086956522,0.125,0.3758120939530235,1,0.043478260869565216
herd,15,23,40,4,17.0,17.0,17.0,16.52173913043478,16.95,0.004347826086956522,0.09090909090909091,0.3758120939530235,1,0.043478260869565216
herd,20,23,40,4,17.0,17.0,17.0,16.52173913043478,16.95,0.004347826086956522,0.09090909090909091,0.3758120939530235,1,0.043478260869565216
cash_lead,3,23,40,4,0.0,0.0,0.0,-9.173913043478262,1.225,-0.002173913043478261,0.10318949343339587,0.6361819090454772,6,0.2608695652173913
opponent_cash,3,23,40,4,198.0,198.0,198.0,208.6086956521739,196.55,-0.002173913043478261,0.12058212058212059,0.5282358820589705,5,0.21739130434782608
coop,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
crops,1,23,40,4,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.0,0,0.0
delta_cash,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
hands,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd,1,23,40,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0,0.0
herd_COW,1,23,40,4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0,0.0
herd_GOOSE,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_SHEEP,1,23,40,4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0,0.0
idle_hands,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
land_owned,1,23,40,4,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,0,0.0
opponent_hands,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
passes,1,23,40,4,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0,0,0.0
pasture,1,23,40,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0,0.0
price_CARROT,1,23,40,4,35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0,0,0.0
price_EGG,1,23,40,4,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,0,0.0
price_FERTILIZER,1,23,40,4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,0,0.0
price_MELON,1,23,40,4,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0,0.0
price_MILK,1,23,40,4,169.0,169.0,169.0,169.0,169.0,0.0,0.0,1.0,0,0.0
price_STRAWBERRY,1,23,40,4,128.0,128.0,128.0,128.0,128.0,0.0,0.0,1.0,0,0.0
price_TOMATO,1,23,40,4,60.0,60.0,60.0,60.0,60.0,0.0,0.0,1.0,0,0.0
price_WHEAT,1,23,40,4,28.0,28.0,28.0,28.0,28.0,0.0,0.0,1.0,0,0.0
price_WOOL,1,23,40,4,206.0,206.0,206.0,206.0,206.0,0.0,0.0,1.0,0,0.0
stock_units,1,23,40,4,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0,0.0
units_in,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
units_out,1,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
coop,3,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
crops,3,23,40,4,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.0,0,0.0
delta_cash,3,23,40,4,113.0,113.0,113.0,116.34782608695652,113.0,0.0,0.0,0.3758120939530235,2,0.08695652173913043
hands,3,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_GOOSE,3,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_SHEEP,3,23,40,4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0,0.0
idle_hands,3,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,3,23,40,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0
land_owned,3,23,40,4,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,0,0.0
opponent_hands,3,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
passes,3,23,40,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0
price_CARROT,3,23,40,4,35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0,0,0.0
price_EGG,3,23,40,4,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,0,0.0
price_FERTILIZER,3,23,40,4,97.0,97.0,97.0,97.0,97.0,0.0,0.0,1.0,2,0.08695652173913043
price_MELON,3,23,40,4,262.0,262.0,262.0,262.0,262.0,0.0,0.0,1.0,0,0.0
price_MILK,3,23,40,4,175.0,175.0,175.0,175.0,175.0,0.0,0.0,1.0,0,0.0
price_STRAWBERRY,3,23,40,4,135.0,135.0,135.0,135.0,135.0,0.0,0.0,1.0,0,0.0
price_TOMATO,3,23,40,4,60.0,60.0,60.0,60.0,60.0,0.0,0.0,1.0,0,0.0
price_WHEAT,3,23,40,4,30.0,30.0,30.0,30.0,30.0,0.0,0.0,1.0,0,0.0
price_WOOL,3,23,40,4,212.0,212.0,212.0,212.0,212.0,0.0,0.0,1.0,0,0.0
coop,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
crops,5,23,40,4,19.0,19.0,19.0,19.0,19.0,0.0,0.0,1.0,0,0.0
hands,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_GOOSE,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_SHEEP,5,23,40,4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0,0.0
idle_hands,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,5,23,40,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0
land_lead,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.08695652173913043
land_owned,5,23,40,4,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,0,0.0
opponent_hands,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
passes,5,23,40,4,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0,0.0
price_FERTILIZER,5,23,40,4,93.0,93.0,93.0,93.04347826086956,93.0,0.0,0.0,0.6056971514242878,2,0.08695652173913043
price_MELON,5,23,40,4,266.0,266.0,266.0,266.0,266.0,0.0,0.0,1.0,0,0.0
units_out,5,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
coop,10,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
hands,10,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
herd_GOOSE,10,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
idle_hands,10,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,10,23,40,4,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0,0.0
land_owned,10,23,40,4,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1.0,0,0.0
opponent_hands,10,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
price_MELON,10,23,40,4,271.0,271.0,271.0,271.0,271.0,0.0,0.0,1.0,0,0.0
hands,15,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
idle_hands,15,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,15,23,40,4,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,0,0.0
land_lead,15,23,40,4,0.0,0.0,0.0,-0.34782608695652173,0.0,0.0,0.0,0.6056971514242878,2,0.08695652173913043
land_owned,15,23,40,4,75.0,75.0,75.0,75.0,75.0,0.0,0.0,1.0,0,0.0
opponent_hands,15,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
hands,20,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
idle_hands,20,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
known_shops,20,23,40,4,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,0,0.0
land_owned,20,23,40,4,75.0,75.0,75.0,75.0,75.0,0.0,0.0,1.0,0,0.0
opponent_hands,20,23,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
